"filename", "language", "JSON", "JavaScript", "XML", "CSS", "PHP", "YAML", "Vue", "Markdown", "comment", "blank", "total"
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_01_104449_create_activity_types_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 7, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_01_172445_create_stock_types_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 7, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_01_172538_create_revenue_types_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 7, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_01_172548_create_depense_types_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 7, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_03_163644_create_depenses_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 7, 4, 34
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_03_163653_create_revenues_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 7, 4, 34
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_11_100748_create_activities_table.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 7, 4, 40
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_11_101212_create_stocks_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 7, 6, 36
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_05_27_113824_create_adherent_groupe_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 6, 5, 31
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_07_073611_create_activity_adherent_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 6, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_12_121105_create_permission_tables.php", "PHP", 0, 0, 0, 0, 108, 0, 0, 0, 10, 24, 142
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_13_100505_create_associations_table.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 6, 5, 36
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_16_105404_create_reunion_types_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 7, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_16_214156_create_rapports_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 6, 5, 31
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_17_160734_create_reunions_table.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 7, 4, 33
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_06_21_173717_create_abonnements_table.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 7, 4, 32
"/home/asmaoui/Documents/coding/Association-Management/database/migrations/2023_07_07_073611_create_adherent_reunion_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 6, 4, 30
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/AdherantSeeder.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 4, 4, 18
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/CotisationSeeder.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 4, 4, 18
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 88, 0, 0, 0, 21, 64, 173
